animalname,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
0,false,false,true,false,false,false,false,false,true,true,false,false,4,true,false,true,3
0,false,false,true,false,false,false,true,true,true,true,false,false,4,true,false,false,3
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4
0,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1
0,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,2
0,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,1
0,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,6
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,7
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
